# RA/Dec offsets are in arcsec and absolute
# i.e., cos(Dec) projection has been considered.
#   >> dRA  =  RA_daofind -  RA_gaia
#   >> dDEC = DEC_daofind - DEC_gaia
# generated on 2026/04/08
expName N_match dRA dDEC dRA_err dDEC_err theta theta_err
jw01895002004_03103_00003_nrca 97 0.0085 0.0010 0.0015 0.0016 -0.0052 0.0012
jw01895002004_03103_00003_nrcb 113 0.0206 0.0096 0.0009 0.0010 -0.0024 0.0007
jw01895002004_03103_00004_nrca 98 0.0033 0.0004 0.0016 0.0014 -0.0056 0.0012
jw01895002004_03103_00004_nrcb 112 0.0175 0.0052 0.0011 0.0010 -0.0030 0.0007
jw01895002005_02101_00001_nrca 97 0.0106 -0.0015 0.0012 0.0018 -0.0013 0.0011
jw01895002005_02101_00001_nrcb 59 0.0163 0.0171 0.0010 0.0012 -0.0018 0.0008
jw01895002005_02101_00002_nrca 99 0.0074 0.0047 0.0012 0.0017 -0.0002 0.0011
jw01895002005_02101_00002_nrcb 66 0.0162 0.0220 0.0011 0.0012 -0.0024 0.0008
jw01895002005_02101_00003_nrca 89 0.0067 -0.0032 0.0012 0.0018 0.0030 0.0010
jw01895002005_02101_00003_nrcb 69 0.0162 0.0202 0.0011 0.0019 -0.0006 0.0009
jw01895002005_02101_00004_nrca 80 0.0105 -0.0031 0.0013 0.0018 -0.0004 0.0010
jw01895002005_02101_00004_nrcb 63 0.0190 0.0167 0.0013 0.0013 -0.0002 0.0008
jw01895002005_02103_00001_nrca 97 0.0089 0.0014 0.0011 0.0017 -0.0026 0.0010
jw01895002005_02103_00001_nrcb 76 0.0160 0.0194 0.0010 0.0011 -0.0020 0.0008
jw01895002005_02103_00002_nrca 94 0.0092 0.0055 0.0011 0.0015 -0.0013 0.0011
jw01895002005_02103_00002_nrcb 73 0.0162 0.0228 0.0009 0.0011 -0.0029 0.0008
jw01895002005_02103_00003_nrca 87 0.0093 -0.0017 0.0011 0.0013 -0.0005 0.0010
jw01895002005_02103_00003_nrcb 74 0.0160 0.0197 0.0011 0.0012 -0.0012 0.0008
jw01895002005_02103_00004_nrca 81 0.0116 -0.0016 0.0013 0.0014 -0.0012 0.0010
jw01895002005_02103_00004_nrcb 75 0.0193 0.0170 0.0010 0.0012 -0.0017 0.0007
jw01895002006_02101_00001_nrca 78 0.0285 0.0283 0.0017 0.0018 -0.0045 0.0011
jw01895002006_02101_00001_nrcb 48 0.0222 0.0409 0.0020 0.0025 -0.0016 0.0018
jw01895002006_02101_00002_nrca 75 0.0247 0.0259 0.0017 0.0021 -0.0069 0.0011
jw01895002006_02101_00002_nrcb 46 0.0203 0.0399 0.0018 0.0018 -0.0017 0.0018
jw01895002006_02101_00003_nrca 70 0.0225 0.0188 0.0018 0.0022 -0.0070 0.0012
jw01895002006_02101_00003_nrcb 45 0.0214 0.0383 0.0019 0.0015 -0.0019 0.0016
jw01895002006_02101_00004_nrca 77 0.0294 0.0217 0.0017 0.0017 -0.0054 0.0011
jw01895002006_02101_00004_nrcb 45 0.0229 0.0417 0.0018 0.0020 -0.0025 0.0016
jw01895002006_04101_00001_nrca 66 0.0269 0.0295 0.0019 0.0021 -0.0065 0.0013
jw01895002006_04101_00001_nrcb 49 0.0219 0.0420 0.0018 0.0018 -0.0029 0.0018
jw01895002006_04101_00002_nrca 70 0.0216 0.0238 0.0018 0.0020 -0.0048 0.0013
jw01895002006_04101_00002_nrcb 48 0.0183 0.0412 0.0019 0.0017 -0.0020 0.0020
jw01895002006_04101_00003_nrca 67 0.0199 0.0182 0.0018 0.0020 -0.0042 0.0013
jw01895002006_04101_00003_nrcb 49 0.0204 0.0382 0.0018 0.0015 -0.0014 0.0016
jw01895002006_04101_00004_nrca 71 0.0270 0.0220 0.0017 0.0018 -0.0046 0.0012
jw01895002006_04101_00004_nrcb 49 0.0238 0.0423 0.0016 0.0014 -0.0024 0.0016
jw01895002007_02101_00001_nrca 66 0.0217 -0.0060 0.0012 0.0013 -0.0051 0.0011
jw01895002007_02101_00001_nrcb 83 0.0132 0.0247 0.0017 0.0017 -0.0091 0.0012
jw01895002007_02101_00002_nrca 59 0.0199 -0.0032 0.0016 0.0016 -0.0088 0.0013
jw01895002007_02101_00002_nrcb 77 0.0179 0.0248 0.0017 0.0019 -0.0102 0.0010
jw01895002007_02101_00003_nrca 54 0.0172 -0.0043 0.0015 0.0015 -0.0078 0.0013
jw01895002007_02101_00003_nrcb 75 0.0142 0.0249 0.0020 0.0021 -0.0097 0.0010
jw01895002007_02101_00004_nrca 56 0.0204 -0.0055 0.0016 0.0014 -0.0062 0.0012
jw01895002007_02101_00004_nrcb 82 0.0167 0.0246 0.0017 0.0018 -0.0085 0.0011
jw01895002007_04101_00001_nrca 66 0.0198 -0.0066 0.0015 0.0015 -0.0061 0.0012
jw01895002007_04101_00001_nrcb 72 0.0153 0.0236 0.0016 0.0018 -0.0082 0.0009
jw01895002007_04101_00002_nrca 59 0.0191 -0.0038 0.0016 0.0017 -0.0076 0.0015
jw01895002007_04101_00002_nrcb 74 0.0140 0.0262 0.0016 0.0018 -0.0100 0.0011
jw01895002007_04101_00003_nrca 52 0.0169 -0.0042 0.0016 0.0017 -0.0063 0.0014
jw01895002007_04101_00003_nrcb 69 0.0110 0.0247 0.0016 0.0017 -0.0108 0.0010
jw01895002007_04101_00004_nrca 54 0.0187 -0.0053 0.0017 0.0015 -0.0077 0.0014
jw01895002007_04101_00004_nrcb 72 0.0156 0.0243 0.0016 0.0018 -0.0102 0.0011
jw01895002008_02101_00001_nrca 77 0.0085 -0.0097 0.0011 0.0009 0.0023 0.0008
jw01895002008_02101_00001_nrcb 96 0.0063 0.0053 0.0016 0.0025 -0.0044 0.0013
jw01895002008_02101_00002_nrca 80 0.0081 -0.0109 0.0010 0.0010 0.0023 0.0008
