# RA/Dec offsets are in arcsec and absolute
# i.e., cos(Dec) projection has been considered.
#   >> dRA  =  RA_daofind -  RA_gaia
#   >> dDEC = DEC_daofind - DEC_gaia
# generated on 2026/04/06
expName N_match dRA dDEC dRA_err dDEC_err theta theta_err
jw03577002004_04101_00003_nrca 102 0.0155 -0.0058 0.0017 0.0013 -0.0051 0.0011
jw03577002004_04101_00003_nrcb 93 0.0293 0.0050 0.0010 0.0012 -0.0045 0.0008
jw03577002004_04101_00004_nrca 106 0.0160 -0.0054 0.0018 0.0011 -0.0057 0.0011
jw03577002004_04101_00004_nrcb 94 0.0277 0.0046 0.0009 0.0013 -0.0037 0.0008
jw03577002005_02101_00001_nrca 99 0.0127 -0.0018 0.0013 0.0019 -0.0035 0.0011
jw03577002005_02101_00001_nrcb 82 0.0226 0.0184 0.0012 0.0012 -0.0039 0.0008
jw03577002005_02101_00002_nrca 105 0.0167 0.0006 0.0019 0.0016 -0.0025 0.0012
jw03577002005_02101_00002_nrcb 87 0.0256 0.0202 0.0011 0.0012 -0.0042 0.0009
jw03577002005_02101_00003_nrca 99 0.0143 -0.0012 0.0015 0.0019 -0.0025 0.0010
jw03577002005_02101_00003_nrcb 79 0.0212 0.0175 0.0014 0.0017 -0.0034 0.0010
jw03577002005_02101_00004_nrca 90 0.0126 -0.0057 0.0020 0.0017 -0.0027 0.0011
jw03577002005_02101_00004_nrcb 70 0.0218 0.0157 0.0011 0.0011 -0.0026 0.0008
jw03577002005_04101_00001_nrca 103 0.0136 -0.0047 0.0011 0.0015 -0.0033 0.0009
jw03577002005_04101_00001_nrcb 68 0.0238 0.0173 0.0011 0.0013 -0.0036 0.0008
jw03577002005_04101_00002_nrca 111 0.0157 -0.0006 0.0012 0.0015 -0.0029 0.0009
jw03577002005_04101_00002_nrcb 60 0.0244 0.0220 0.0011 0.0014 -0.0056 0.0008
jw03577002005_04101_00003_nrca 102 0.0107 -0.0033 0.0013 0.0015 -0.0018 0.0010
jw03577002005_04101_00003_nrcb 64 0.0197 0.0188 0.0011 0.0014 -0.0046 0.0007
jw03577002005_04101_00004_nrca 84 0.0104 -0.0061 0.0010 0.0015 -0.0024 0.0010
jw03577002005_04101_00004_nrcb 61 0.0206 0.0157 0.0010 0.0012 -0.0048 0.0007
jw03577002006_02101_00001_nrca 67 0.0109 0.0129 0.0019 0.0023 -0.0076 0.0014
jw03577002006_02101_00001_nrcb 75 0.0095 0.0253 0.0014 0.0017 -0.0021 0.0017
jw03577002006_02101_00002_nrca 63 0.0114 0.0090 0.0020 0.0022 -0.0077 0.0018
jw03577002006_02101_00002_nrcb 66 0.0100 0.0238 0.0024 0.0015 -0.0026 0.0014
jw03577002006_02101_00003_nrca 70 0.0095 0.0087 0.0018 0.0023 -0.0041 0.0014
jw03577002006_02101_00003_nrcb 70 0.0053 0.0230 0.0013 0.0015 -0.0010 0.0016
jw03577002006_02101_00004_nrca 72 0.0111 0.0106 0.0018 0.0026 -0.0097 0.0013
jw03577002006_02101_00004_nrcb 73 0.0086 0.0234 0.0024 0.0016 -0.0014 0.0016
jw03577002006_04101_00001_nrca 59 0.0086 0.0143 0.0021 0.0027 -0.0117 0.0010
jw03577002006_04101_00001_nrcb 74 0.0110 0.0259 0.0009 0.0015 -0.0024 0.0015
jw03577002006_04101_00002_nrca 62 0.0093 0.0120 0.0021 0.0024 -0.0068 0.0014
jw03577002006_04101_00002_nrcb 73 0.0102 0.0222 0.0009 0.0013 -0.0020 0.0014
jw03577002006_04101_00003_nrca 63 0.0070 0.0101 0.0020 0.0019 -0.0051 0.0013
jw03577002006_04101_00003_nrcb 69 0.0057 0.0274 0.0009 0.0013 -0.0011 0.0015
jw03577002006_04101_00004_nrca 66 0.0103 0.0113 0.0019 0.0022 -0.0090 0.0012
jw03577002006_04101_00004_nrcb 81 0.0098 0.0239 0.0009 0.0013 -0.0022 0.0012
jw03577002007_02101_00001_nrca 55 0.0185 -0.0033 0.0014 0.0018 -0.0023 0.0013
jw03577002007_02101_00001_nrcb 101 0.0093 0.0236 0.0016 0.0017 -0.0055 0.0013
jw03577002007_02101_00002_nrca 53 0.0153 -0.0096 0.0019 0.0021 -0.0056 0.0016
jw03577002007_02101_00002_nrcb 82 0.0081 0.0201 0.0018 0.0016 -0.0045 0.0014
jw03577002007_02101_00003_nrca 62 0.0036 -0.0134 0.0018 0.0019 -0.0041 0.0013
jw03577002007_02101_00003_nrcb 84 -0.0015 0.0160 0.0015 0.0021 -0.0053 0.0012
jw03577002007_02101_00004_nrca 57 0.0177 -0.0080 0.0015 0.0017 -0.0059 0.0012
jw03577002007_02101_00004_nrcb 85 0.0118 0.0200 0.0017 0.0017 -0.0067 0.0012
jw03577002007_04101_00001_nrca 51 0.0176 -0.0074 0.0012 0.0016 -0.0022 0.0010
jw03577002007_04101_00001_nrcb 96 0.0087 0.0239 0.0013 0.0014 -0.0049 0.0011
jw03577002007_04101_00002_nrca 47 0.0148 -0.0066 0.0012 0.0015 0.0006 0.0010
jw03577002007_04101_00002_nrcb 86 0.0074 0.0215 0.0014 0.0014 -0.0059 0.0012
jw03577002007_04101_00003_nrca 50 0.0047 -0.0118 0.0017 0.0015 -0.0054 0.0013
jw03577002007_04101_00003_nrcb 90 -0.0008 0.0164 0.0012 0.0014 -0.0049 0.0009
jw03577002007_04101_00004_nrca 55 0.0186 -0.0089 0.0014 0.0014 -0.0043 0.0011
jw03577002007_04101_00004_nrcb 91 0.0137 0.0206 0.0012 0.0014 -0.0057 0.0009
jw03577002008_02101_00001_nrca 93 0.0178 -0.0037 0.0011 0.0014 -0.0008 0.0010
jw03577002008_02101_00001_nrcb 82 0.0213 0.0175 0.0017 0.0016 -0.0063 0.0012
jw03577002008_02101_00002_nrca 93 0.0160 0.0011 0.0009 0.0013 0.0014 0.0009
jw03577002008_02101_00002_nrcb 90 0.0190 0.0224 0.0019 0.0020 -0.0063 0.0012
jw03577002008_02101_00003_nrca 104 0.0173 -0.0003 0.0011 0.0013 0.0002 0.0009
jw03577002008_02101_00003_nrcb 95 0.0181 0.0165 0.0017 0.0020 -0.0053 0.0010
jw03577002008_02101_00004_nrca 108 0.0155 -0.0004 0.0008 0.0011 0.0005 0.0008
jw03577002008_02101_00004_nrcb 97 0.0197 0.0154 0.0014 0.0019 -0.0056 0.0011
jw03577002008_04101_00001_nrca 86 0.0168 -0.0038 0.0008 0.0010 0.0008 0.0008
jw03577002008_04101_00001_nrcb 88 0.0234 0.0154 0.0012 0.0012 -0.0047 0.0008
jw03577002008_04101_00002_nrca 95 0.0152 0.0002 0.0009 0.0009 0.0002 0.0007
jw03577002008_04101_00002_nrcb 90 0.0184 0.0201 0.0014 0.0017 -0.0063 0.0010
jw03577002008_04101_00003_nrca 114 0.0154 -0.0018 0.0008 0.0009 0.0024 0.0007
jw03577002008_04101_00003_nrcb 91 0.0190 0.0171 0.0010 0.0017 -0.0065 0.0009
jw03577002008_04101_00004_nrca 108 0.0140 -0.0009 0.0008 0.0009 0.0005 0.0008
jw03577002008_04101_00004_nrcb 85 0.0183 0.0164 0.0012 0.0014 -0.0057 0.0009
jw03577002009_02101_00001_nrca 96 0.0253 0.0009 0.0012 0.0014 -0.0041 0.0009
jw03577002009_02101_00001_nrcb 89 0.0241 0.0203 0.0019 0.0022 -0.0037 0.0014
jw03577002009_02101_00002_nrca 95 0.0217 0.0003 0.0010 0.0014 -0.0048 0.0008
jw03577002009_02101_00002_nrcb 98 0.0191 0.0213 0.0016 0.0018 -0.0048 0.0011
jw03577002009_02101_00003_nrca 83 0.0277 0.0004 0.0011 0.0013 -0.0053 0.0008
jw03577002009_02101_00003_nrcb 107 0.0249 0.0180 0.0020 0.0020 -0.0044 0.0013
jw03577002009_02101_00004_nrca 85 0.0250 -0.0044 0.0011 0.0013 -0.0035 0.0009
jw03577002009_02101_00004_nrcb 94 0.0212 0.0138 0.0020 0.0016 -0.0010 0.0013
jw03577002009_04101_00001_nrca 101 0.0232 -0.0001 0.0010 0.0010 -0.0034 0.0008
jw03577002009_04101_00001_nrcb 97 0.0243 0.0192 0.0012 0.0017 -0.0040 0.0010
jw03577002009_04101_00002_nrca 100 0.0206 0.0016 0.0010 0.0009 -0.0023 0.0008
jw03577002009_04101_00002_nrcb 109 0.0222 0.0207 0.0015 0.0020 -0.0060 0.0010
jw03577002009_04101_00003_nrca 86 0.0271 -0.0007 0.0010 0.0010 -0.0065 0.0008
jw03577002009_04101_00003_nrcb 108 0.0259 0.0194 0.0014 0.0018 -0.0040 0.0010
jw03577002009_04101_00004_nrca 86 0.0243 -0.0046 0.0010 0.0010 -0.0038 0.0009
jw03577002009_04101_00004_nrcb 93 0.0246 0.0142 0.0014 0.0019 -0.0033 0.0011
jw03577002010_02101_00001_nrca 54 0.0170 -0.0033 0.0023 0.0026 -0.0140 0.0020
jw03577002010_02101_00001_nrcb 67 0.0119 0.0241 0.0018 0.0023 -0.0084 0.0010
jw03577002010_02101_00002_nrca 39 0.0054 0.0024 0.0047 0.0037 -0.0152 0.0029
jw03577002010_02101_00002_nrcb 63 0.0117 0.0274 0.0020 0.0029 -0.0086 0.0010
jw03577002010_02101_00003_nrca 36 0.0191 -0.0037 0.0024 0.0040 -0.0096 0.0023
jw03577002010_02101_00003_nrcb 67 0.0137 0.0235 0.0021 0.0024 -0.0091 0.0012
jw03577002010_02101_00004_nrca 36 0.0071 -0.0033 0.0037 0.0057 -0.0149 0.0032
jw03577002010_02101_00004_nrcb 61 0.0146 0.0222 0.0021 0.0021 -0.0070 0.0014
jw03577002010_04101_00001_nrca 46 0.0166 -0.0021 0.0022 0.0024 -0.0102 0.0015
jw03577002010_04101_00001_nrcb 59 0.0158 0.0230 0.0016 0.0024 -0.0081 0.0011
jw03577002010_04101_00002_nrca 47 0.0117 -0.0017 0.0025 0.0026 -0.0108 0.0017
jw03577002010_04101_00002_nrcb 59 0.0136 0.0281 0.0017 0.0025 -0.0090 0.0010
jw03577002010_04101_00003_nrca 33 0.0089 -0.0032 0.0056 0.0025 -0.0119 0.0022
jw03577002010_04101_00003_nrcb 62 0.0126 0.0253 0.0016 0.0021 -0.0084 0.0008
jw03577002010_04101_00004_nrca 32 0.0171 -0.0022 0.0025 0.0017 -0.0071 0.0015
jw03577002010_04101_00004_nrcb 58 0.0133 0.0235 0.0022 0.0022 -0.0081 0.0011
jw03577002011_02101_00001_nrca 77 -0.0081 0.0118 0.0015 0.0016 0.0007 0.0014
jw03577002011_02101_00001_nrcb 98 0.0081 0.0307 0.0019 0.0013 -0.0050 0.0012
jw03577002011_02101_00002_nrca 83 -0.0104 0.0089 0.0016 0.0021 0.0018 0.0013
jw03577002011_02101_00002_nrcb 95 0.0084 0.0301 0.0018 0.0011 -0.0041 0.0012
jw03577002011_02101_00003_nrca 72 -0.0096 0.0111 0.0017 0.0019 0.0026 0.0016
jw03577002011_02101_00003_nrcb 90 0.0049 0.0323 0.0019 0.0012 -0.0037 0.0012
jw03577002011_02101_00004_nrca 69 -0.0096 0.0096 0.0015 0.0017 0.0007 0.0014
jw03577002011_02101_00004_nrcb 96 0.0083 0.0293 0.0018 0.0013 -0.0046 0.0014
jw03577002011_04101_00001_nrca 67 -0.0100 0.0094 0.0014 0.0015 0.0024 0.0010
jw03577002011_04101_00001_nrcb 91 0.0111 0.0306 0.0016 0.0012 -0.0057 0.0012
jw03577002011_04101_00002_nrca 68 -0.0111 0.0064 0.0014 0.0016 0.0015 0.0010
jw03577002011_04101_00002_nrcb 88 0.0098 0.0289 0.0016 0.0010 -0.0049 0.0011
jw03577002011_04101_00003_nrca 63 -0.0113 0.0094 0.0016 0.0017 0.0029 0.0013
jw03577002011_04101_00003_nrcb 88 0.0084 0.0323 0.0017 0.0011 -0.0044 0.0012
jw03577002011_04101_00004_nrca 61 -0.0097 0.0102 0.0016 0.0015 0.0035 0.0012
jw03577002011_04101_00004_nrcb 93 0.0105 0.0300 0.0018 0.0012 -0.0060 0.0013
jw03577002012_02101_00001_nrca 30 -0.0081 -0.0010 0.0030 0.0024 -0.0003 0.0033
jw03577002012_02101_00001_nrcb 81 0.0159 0.0253 0.0014 0.0020 -0.0036 0.0015
jw03577002012_02101_00002_nrca 36 -0.0013 -0.0003 0.0022 0.0022 -0.0110 0.0025
jw03577002012_02101_00002_nrcb 74 0.0116 0.0223 0.0015 0.0016 -0.0023 0.0013
jw03577002012_02101_00003_nrca 32 -0.0015 -0.0010 0.0021 0.0022 -0.0111 0.0037
jw03577002012_02101_00003_nrcb 71 0.0145 0.0222 0.0015 0.0021 -0.0055 0.0015
jw03577002012_02101_00004_nrca 29 0.0024 0.0083 0.0035 0.0019 -0.0060 0.0037
jw03577002012_02101_00004_nrcb 79 0.0184 0.0255 0.0014 0.0019 -0.0021 0.0014
jw03577002012_04101_00001_nrca 32 0.0028 0.0064 0.0023 0.0018 -0.0121 0.0032
jw03577002012_04101_00001_nrcb 81 0.0159 0.0245 0.0010 0.0015 -0.0043 0.0011
jw03577002012_04101_00002_nrca 30 -0.0037 0.0111 0.0016 0.0018 -0.0011 0.0018
jw03577002012_04101_00002_nrcb 78 0.0153 0.0248 0.0013 0.0017 -0.0039 0.0011
jw03577002012_04101_00003_nrca 25 -0.0017 0.0049 0.0018 0.0014 -0.0118 0.0024
jw03577002012_04101_00003_nrcb 73 0.0136 0.0220 0.0012 0.0018 -0.0046 0.0012
jw03577002012_04101_00004_nrca 24 0.0028 0.0064 0.0029 0.0016 -0.0194 0.0034
jw03577002012_04101_00004_nrcb 76 0.0195 0.0238 0.0014 0.0016 -0.0020 0.0012
